Customer,Order,PO,OrderDate,CancelDate,ShipDate,UpdateDate,Bol,Ref,Boxes,Value
SIM10952,521090,38840,12/6/2019,12/20/2019,12/10/2019,1/13/2020,281674,,106,1360
NEW01701,539197,40090905,1/20/2020,1/28/2020,1/21/2020,1/21/2020,282046,,102,1949.4
MAC45240,497495,5865605,10/7/2019,2/19/2020,2/12/2020,1/28/2020,282497,,114,2220
ROS94560,508173,3255619,10/21/2019,2/19/2020,2/14/2020,2/5/2020,282970,,536,13442.8
CHU84150,544721,1009-2124,1/29/2020,00/00/00,2/28/2020,2/7/2020,283163,6039,16,686.6
HGB01701,548941,40781689,2/5/2020,2/13/2020,2/6/2020,2/10/2020,283199,,165,3027.2
FIN76702,549806,TO19201715,1/15/2020,00/00/00,1/9/2020,2/10/2020,283315,,2,115
KELLYS,551193,3385272003,1/27/2020,00/00/00,2/24/2020,2/13/2020,282506,,29,1429.4
KELLYS,551197,3385272003,1/27/2020,00/00/00,2/24/2020,2/13/2020,282506,,6,345
KELLYS,551195,3385272003,1/27/2020,00/00/00,2/24/2020,2/13/2020,282507,,49,2394.2
ROS94560,514827,3286969,11/20/2019,3/5/2020,2/27/2020,2/13/2020,283572,,433,8790
BEA99352,544723,1012-1424,1/29/2020,00/00/00,3/23/2020,2/13/2020,285417,6373,27,685.6
HOM92691,545557,202-354,1/29/2020,00/00/00,3/23/2020,2/13/2020,283580,6171,16,779.5
ROS94560,551317,3286969,11/20/2019,3/5/2020,2/27/2020,2/17/2020,283647,,202,3216
MAC45240,551304,1686729,2/13/2020,3/20/2020,2/26/2020,2/17/2020,283646,,298,7505.6
CHR02664,366860,4151002,7/8/2019,3/5/2020,2/20/2020,2/17/2020,284383,,496,7032
OLD37133,534679,242706,1/10/2020,3/8/2020,3/2/2020,2/18/2020,283799,,380,9420
MAC45240,551307,1686454,2/13/2020,3/11/2020,3/4/2020,2/19/2020,283833,,180,4185
TUE75244,554813,417729,2/24/2020,3/6/2020,2/24/2020,2/25/2020,284209,,1111,42476.4
OLD37133,526193,242333,12/17/2019,3/15/2020,3/9/2020,2/26/2020,283799,,412,5838
OLD37133,536564,242742,1/13/2020,3/15/2020,3/9/2020,2/26/2020,283799,,600,8400
MAC45240,497497,5865660,10/7/2019,3/18/2020,3/11/2020,2/26/2020,284247,,272,2980
TUE75244,556063,415513,1/22/2020,3/20/2020,3/7/2020,2/26/2020,284260,,269,9130.8
PAL29406,544219,45370,1/28/2020,5/29/2020,5/26/2020,2/27/2020,284349,,108,2394
MAC45240,549836,1523676,2/10/2020,3/11/2020,3/1/2020,2/27/2020,284348,,147,1046
CHR02664,553143,4192525,2/20/2020,3/10/2020,2/29/2020,2/27/2020,284375,,325,7484.1
CHR02664,553151,4192580,2/20/2020,3/15/2020,3/5/2020,2/28/2020,284383,,270,7963.2
NIC71449,556762,JD17202874,1/21/2020,00/00/00,3/15/2020,2/28/2020,284416,,29,808.5
NIC71449,540747,JD17202874,1/21/2020,00/00/00,3/23/2020,2/28/2020,284412,,72,3157
ROS94560,551684,3360285,2/17/2020,3/16/2020,3/12/2020,3/3/2020,284515,,525,9450
ROS94560,551685,3360336,2/13/2020,3/16/2020,3/12/2020,3/3/2020,284516,,525,9450
ROS94560,553632,3365045,2/17/2020,3/16/2020,3/12/2020,3/3/2020,284517,,333,5994
ROS94560,553637,3367870,2/19/2020,3/16/2020,3/12/2020,3/3/2020,284518,,2001,43084
ROS94560,541661,3335014,1/21/2020,3/19/2020,3/12/2020,3/3/2020,284520,,699,17446.4
ROS94560,508175,3255634,10/21/2019,3/19/2020,3/12/2020,3/3/2020,284521,,833,24012.4
ROS94560,551058,3351317,2/6/2020,3/19/2020,3/12/2020,3/3/2020,284522,,167,5188
ROS94560,508174,3255664,10/21/2019,3/19/2020,3/12/2020,3/3/2020,284524,,798,13545
ROS94560,510364,3274708,11/7/2019,3/18/2020,3/12/2020,3/3/2020,284526,,62,5654.4
ROS94560,551690,3362222,2/14/2020,3/19/2020,3/12/2020,3/3/2020,284527,,1564,28574.45
